Market,Arrivals,Unit of Arrivals,Variety,Minimum Prices,Maximum Prices,Modal Prices,Unit of Price,Variety
,,,,,,,,
Group:Cereals,,,,,,,,
,,,,,,,,
Thanesar,0.2,Tonnes,Other,9000,10000,9500,Rs/Quintal,Peas(Dry)
,,,,,,,,
Group:Spices,,,,,,,,
,,,,,,,,
Naraingarh,0.04,Tonnes,Garlic,20000,22000,21000,Rs/Quintal,Garlic
Shahabad,0.2,Tonnes,Garlic,22000,29000,23200,Rs/Quintal,Garlic
Thanesar,0.1,Tonnes,Average,15000,25000,20000,Rs/Quintal,Garlic
,,,,,,,,
Chhachrauli,0.02,Tonnes,Dry,4000,4000,4000,Rs/Quintal,Ginger
Ladwa,0.5,Tonnes,Other,4000,4500,4300,Rs/Quintal,Ginger
Naraingarh,0.25,Tonnes,Other,2000,4500,3500,Rs/Quintal,Ginger
Shahabad,0.36,Tonnes,Vegitable-fresh,4000,4500,4200,Rs/Quintal,Ginger
,,,,,,,,
Group:Vegetables,,,,,,,,
,,,,,,,,
Jakhal,0.1,Tonnes,Ashgourd,1200,1200,1200,Rs/Quintal,Ashgourd
,,,,,,,,
Gohana,2,Tonnes,Other,2000,3000,2200,Rs/Quintal,Banana - Green
Naraingarh,35.9,Tonnes,Other,2000,3200,2300,Rs/Quintal,Banana - Green
,,,,,,,,
Thanesar,0.2,Tonnes,Beetroot,1500,2500,2000,Rs/Quintal,Beetroot
,,,,,,,,
Ambala Cantt.,1.7,Tonnes,Bhindi,1000,1200,1100,Rs/Quintal,Bhindi
Barara,0.24,Tonnes,Other,1500,2000,2000,Rs/Quintal,Bhindi
Barwala(Hisar),0.6,Tonnes,Other,1500,2000,1800,Rs/Quintal,Bhindi
Chhachrauli,0.5,Tonnes,Bhindi,1200,1400,1300,Rs/Quintal,Bhindi
Faridabad,6.4,Tonnes,Other,1000,2400,1700,Rs/Quintal,Bhindi
Ganaur,0.6,Tonnes,Bhindi,2500,3000,2800,Rs/Quintal,Bhindi
Gohana,1.4,Tonnes,Other,2000,2500,2200,Rs/Quintal,Bhindi
Hansi,3.8,Tonnes,Other,1000,1200,1100,Rs/Quintal,Bhindi
Hissar,2.9,Tonnes,Other,1500,2000,2000,Rs/Quintal,Bhindi
Jagadhri,0.21,Tonnes,Other,900,1100,1000,Rs/Quintal,Bhindi
Jakhal,0.1,Tonnes,Other,2300,2300,2300,Rs/Quintal,Bhindi
Kosli,0.1,Tonnes,Bhindi,1500,1500,1500,Rs/Quintal,Bhindi
Ladwa,0.1,Tonnes,Bhindi,2200,2200,2200,Rs/Quintal,Bhindi
Meham,7,Tonnes,Bhindi,2000,3000,2500,Rs/Quintal,Bhindi
Naraingarh,0.68,Tonnes,Bhindi,800,1500,1000,Rs/Quintal,Bhindi
Narnaul,0.8,Tonnes,Other,1500,2000,2000,Rs/Quintal,Bhindi
Palwal,1.2,Tonnes,Bhindi,2000,2500,2250,Rs/Quintal,Bhindi
Radaur,5,Tonnes,Other,1000,1000,1000,Rs/Quintal,Bhindi
Raipur Rai,0.12,Tonnes,Other,2000,2500,2000,Rs/Quintal,Bhindi
Rania,1,Tonnes,Bhindi,1800,2000,1900,Rs/Quintal,Bhindi
Sadhaura,0.2,Tonnes,Bhindi,1200,1600,1400,Rs/Quintal,Bhindi
Safidon,0.34,Tonnes,Bhindi,1500,1500,1500,Rs/Quintal,Bhindi
Shahabad,0.58,Tonnes,Bhindi,1200,1800,1300,Rs/Quintal,Bhindi
Shahzadpur,0.25,Tonnes,Bhindi,1500,2000,1800,Rs/Quintal,Bhindi
Siwan,0.5,Tonnes,Other,1500,1500,1500,Rs/Quintal,Bhindi
Sohna,1.85,Tonnes,Bhindi,1200,2200,2000,Rs/Quintal,Bhindi
Thanesar,2.8,Tonnes,Bhindi,1000,1500,1200,Rs/Quintal,Bhindi
Bitter gourd,,,,,,,,
Ambala Cantt.,1.5,Tonnes,Bitter Gourd,1000,1500,1200,Rs/Quintal,Bitter gourd
Barara,0.08,Tonnes,Other,2000,2000,2000,Rs/Quintal,Bitter gourd
Barwala(Hisar),0.3,Tonnes,Other,2000,2500,2400,Rs/Quintal,Bitter gourd
Chhachrauli,0.15,Tonnes,Bitter Gourd,1600,1800,1600,Rs/Quintal,Bitter gourd
Faridabad,0.35,Tonnes,Other,1000,2000,1500,Rs/Quintal,Bitter gourd
Ganaur,0.1,Tonnes,Bitter Gourd,3000,4000,3500,Rs/Quintal,Bitter gourd
Jakhal,0.1,Tonnes,Other,2000,2000,2000,Rs/Quintal,Bitter gourd
Naraingarh,0.16,Tonnes,Bitter Gourd,1500,2000,1850,Rs/Quintal,Bitter gourd
"New Grain Market(main), Karnal",0.5,Tonnes,Other,1600,2000,1800,Rs/Quintal,Bitter gourd
Radaur,2,Tonnes,Other,2000,2800,2500,Rs/Quintal,Bitter gourd
Raipur Rai,0.4,Tonnes,Bitter Gourd,1800,2000,1800,Rs/Quintal,Bitter gourd
Sadhaura,0.7,Tonnes,Bitter Gourd,2000,2400,2200,Rs/Quintal,Bitter gourd
Shahabad,0.25,Tonnes,Bitter Gourd,2200,2500,2300,Rs/Quintal,Bitter gourd
Sonepat,0.35,Tonnes,Other,2400,2600,2600,Rs/Quintal,Bitter gourd
Tauru,0.1,Tonnes,Other,4000,4000,4000,Rs/Quintal,Bitter gourd
Thanesar,1.3,Tonnes,Bitter Gourd,1500,2500,2000,Rs/Quintal,Bitter gourd
Uklana,0.1,Tonnes,Bitter Gourd,1200,1200,1200,Rs/Quintal,Bitter gourd
,,,,,,,,
Ambala Cantt.,1.2,Tonnes,Bottle Gourd,800,1000,900,Rs/Quintal,Bottle gourd
Barara,1.5,Tonnes,Other,1200,1500,1500,Rs/Quintal,Bottle gourd
Barwala,12,Tonnes,Other,600,1200,900,Rs/Quintal,Bottle gourd
Barwala(Hisar),4,Tonnes,Other,800,900,900,Rs/Quintal,Bottle gourd
Chhachrauli,0.7,Tonnes,Bottle Gourd,600,700,700,Rs/Quintal,Bottle gourd
Faridabad,9.9,Tonnes,Other,600,1500,1150,Rs/Quintal,Bottle gourd
Ganaur,1,Tonnes,Bottle Gourd,1500,2000,1800,Rs/Quintal,Bottle gourd
Gurgaon,16.7,Tonnes,Bottle Gourd,1000,1400,1200,Rs/Quintal,Bottle gourd
Hissar,11.6,Tonnes,Bottle Gourd,500,800,800,Rs/Quintal,Bottle gourd
Jagadhri,0.82,Tonnes,Other,400,700,550,Rs/Quintal,Bottle gourd
Jakhal,0.2,Tonnes,Bottle Gourd,1000,1100,1100,Rs/Quintal,Bottle gourd
Ladwa,1.3,Tonnes,Bottle Gourd,600,800,700,Rs/Quintal,Bottle gourd
Naraingarh,2.45,Tonnes,Bottle Gourd,200,800,600,Rs/Quintal,Bottle gourd
Narnaul,5.4,Tonnes,Other,500,700,600,Rs/Quintal,Bottle gourd
Narwana,6.6,Tonnes,Bottle Gourd,800,1000,900,Rs/Quintal,Bottle gourd
"New Grain Market(main), Karnal",11.1,Tonnes,Other,400,700,550,Rs/Quintal,Bottle gourd
Palwal,4.1,Tonnes,Bottle Gourd,1500,1500,1500,Rs/Quintal,Bottle gourd
Panipat,10.9,Tonnes,Bottle Gourd,800,1000,900,Rs/Quintal,Bottle gourd
Pataudi,2.8,Tonnes,Other,400,600,500,Rs/Quintal,Bottle gourd
Radaur,18,Tonnes,Other,400,600,500,Rs/Quintal,Bottle gourd
Raipur Rai,2.3,Tonnes,Bottle Gourd,700,1000,700,Rs/Quintal,Bottle gourd
Sadhaura,3.5,Tonnes,Bottle Gourd,900,1300,1100,Rs/Quintal,Bottle gourd
Safidon,9,Tonnes,Bottle Gourd,800,800,800,Rs/Quintal,Bottle gourd
Shahabad,2.1,Tonnes,Bottle Gourd,400,700,500,Rs/Quintal,Bottle gourd
Shahzadpur,0.2,Tonnes,Bottle Gourd,600,600,600,Rs/Quintal,Bottle gourd
Siwan,0.9,Tonnes,Other,900,1000,1000,Rs/Quintal,Bottle gourd
Sohna,3.05,Tonnes,Bottle Gourd,1000,1300,1200,Rs/Quintal,Bottle gourd
Sonepat,12.3,Tonnes,Other,1200,1400,1400,Rs/Quintal,Bottle gourd
Tauru,0.2,Tonnes,Other,700,900,800,Rs/Quintal,Bottle gourd
Thanesar,4.9,Tonnes,Bottle Gourd,500,800,600,Rs/Quintal,Bottle gourd
Uklana,0.3,Tonnes,Bottle Gourd,700,800,800,Rs/Quintal,Bottle gourd
,,,,,,,,
Ambala Cantt.,1.5,Tonnes,Brinjal,1500,1700,1600,Rs/Quintal,Brinjal
Barara,0.11,Tonnes,Other,2000,2200,2200,Rs/Quintal,Brinjal
Barwala,2,Tonnes,Other,1000,2000,1500,Rs/Quintal,Brinjal
Barwala(Hisar),0.5,Tonnes,Other,1400,1500,1500,Rs/Quintal,Brinjal
Chhachrauli,0.13,Tonnes,Brinjal,1500,3000,1500,Rs/Quintal,Brinjal
Faridabad,3.65,Tonnes,Other,1000,2400,1750,Rs/Quintal,Brinjal
Ganaur,0.6,Tonnes,Brinjal,2500,3000,2800,Rs/Quintal,Brinjal
Gohana,0.2,Tonnes,Other,2000,3000,2500,Rs/Quintal,Brinjal
Hansi,3.1,Tonnes,Other,1200,1500,1400,Rs/Quintal,Brinjal
Kosli,0.1,Tonnes,Other,1000,1000,1000,Rs/Quintal,Brinjal
Ladwa,0.1,Tonnes,Brinjal,2100,2500,2300,Rs/Quintal,Brinjal
Meham,0.3,Tonnes,Other,2000,2000,2000,Rs/Quintal,Brinjal
Naraingarh,1.19,Tonnes,Brinjal,600,2000,1100,Rs/Quintal,Brinjal
Narnaul,1,Tonnes,Other,1000,1800,1500,Rs/Quintal,Brinjal
"New Grain Market(main), Karnal",6.5,Tonnes,Other,1000,1200,1100,Rs/Quintal,Brinjal
Palwal,2,Tonnes,Brinjal,1500,1500,1500,Rs/Quintal,Brinjal
Pataudi,2.9,Tonnes,Other,2000,2500,2200,Rs/Quintal,Brinjal
Radaur,5,Tonnes,Other,1700,2000,1800,Rs/Quintal,Brinjal
Raipur Rai,0.05,Tonnes,Other,1500,1600,1500,Rs/Quintal,Brinjal
Shahabad,0.88,Tonnes,Brinjal,800,1500,1200,Rs/Quintal,Brinjal
Shahzadpur,0.35,Tonnes,Brinjal,1000,2000,1500,Rs/Quintal,Brinjal
Siwan,0.6,Tonnes,Other,1200,1300,1300,Rs/Quintal,Brinjal
Sohna,2.3,Tonnes,Brinjal,1800,2500,2200,Rs/Quintal,Brinjal
Sonepat,5.3,Tonnes,Other,2800,3400,3400,Rs/Quintal,Brinjal
Thanesar,4.6,Tonnes,Brinjal,600,1200,1000,Rs/Quintal,Brinjal
Uklana,0.1,Tonnes,Other,1500,1500,1500,Rs/Quintal,Brinjal
,,,,,,,,
Ambala Cantt.,1.4,Tonnes,Cabbage,1000,1500,1200,Rs/Quintal,Cabbage
Barara,0.06,Tonnes,Other,1400,1500,1500,Rs/Quintal,Cabbage
Barwala(Hisar),0.1,Tonnes,Other,1500,2000,1800,Rs/Quintal,Cabbage
Faridabad,1.5,Tonnes,Other,1000,2000,1500,Rs/Quintal,Cabbage
Ganaur,0.4,Tonnes,Cabbage,3000,4000,3500,Rs/Quintal,Cabbage
Gurgaon,16.7,Tonnes,Other,1000,2000,1500,Rs/Quintal,Cabbage
Hansi,1.1,Tonnes,Other,2000,2000,2000,Rs/Quintal,Cabbage
Ladwa,0.6,Tonnes,Cabbage,2300,2500,2400,Rs/Quintal,Cabbage
Naraingarh,0.5,Tonnes,Other,1000,3000,1500,Rs/Quintal,Cabbage
Narnaul,0.8,Tonnes,Other,2000,2500,2200,Rs/Quintal,Cabbage
"New Grain Market(main), Karnal",4.8,Tonnes,Other,1200,1500,1350,Rs/Quintal,Cabbage
