Market,Arrivals,Unit of Arrivals,Variety,Minimum Prices,Maximum Prices,Modal Prices,Unit of Price,Variety
Sonepat,23.7,Tonnes,Other,2600,2700,2700,Rs/Quintal,Potato
Tohana(New Veg Market),15.3,Tonnes,Potato,1600,1800,1800,Rs/Quintal,Potato
Uklana,0.4,Tonnes,Potato,2000,2000,2000,Rs/Quintal,Potato
,,,,,,,,
Ambala Cantt.,2.5,Tonnes,Other,1000,1500,1200,Rs/Quintal,Pumpkin
Bahadurgarh,1.6,Tonnes,Other,1000,1300,1200,Rs/Quintal,Pumpkin
Faridabad,38.2,Tonnes,Other,1000,2000,1500,Rs/Quintal,Pumpkin
Ganaur,4,Tonnes,Pumpkin,1500,2000,1800,Rs/Quintal,Pumpkin
Hissar,4.1,Tonnes,Other,700,1500,1200,Rs/Quintal,Pumpkin
Kosli,0.2,Tonnes,Other,1000,1000,1000,Rs/Quintal,Pumpkin
Ladwa,0.1,Tonnes,Pumpkin,1500,1500,1500,Rs/Quintal,Pumpkin
Narnaul,0.4,Tonnes,Other,1200,1500,1500,Rs/Quintal,Pumpkin
"New Grain Market(main), Karnal",3.9,Tonnes,Other,1800,2000,1900,Rs/Quintal,Pumpkin
Rania,1,Tonnes,Other,1500,1800,1700,Rs/Quintal,Pumpkin
,,,,,,,,
Hansi,0.7,Tonnes,Other,2000,2000,2000,Rs/Quintal,Raddish
Ladwa,0.3,Tonnes,Raddish,1500,1500,1500,Rs/Quintal,Raddish
Narnaul,0.2,Tonnes,Other,3000,3000,3000,Rs/Quintal,Raddish
Siwan,0.3,Tonnes,Other,1000,1200,1100,Rs/Quintal,Raddish
,,,,,,,,
Ganaur,0.4,Tonnes,Ridgeguard(Tori),2500,3000,2800,Rs/Quintal,Ridgeguard(Tori)
Hansi,2.1,Tonnes,Other,1500,1500,1500,Rs/Quintal,Ridgeguard(Tori)
Jakhal,0.2,Tonnes,Other,3500,3800,3800,Rs/Quintal,Ridgeguard(Tori)
Ladwa,0.1,Tonnes,Ridgeguard(Tori),1000,1000,1000,Rs/Quintal,Ridgeguard(Tori)
,,,,,,,,
Barwala(Hisar),1.1,Tonnes,Other,1000,1500,1400,Rs/Quintal,Round gourd
,,,,,,,,
Ganaur,0.2,Tonnes,Spinach,2000,3000,2500,Rs/Quintal,Spinach
Hansi,1.1,Tonnes,Other,1000,1000,1000,Rs/Quintal,Spinach
Sonepat,0.7,Tonnes,Other,1500,2000,2000,Rs/Quintal,Spinach
,,,,,,,,
Faridabad,3.2,Tonnes,Other,800,2000,1400,Rs/Quintal,Sponge gourd
Narnaul,0.3,Tonnes,Other,1000,1500,1500,Rs/Quintal,Sponge gourd
,,,,,,,,
Barwala(Hisar),0.2,Tonnes,Other,4000,5000,4500,Rs/Quintal,Tinda
Ch. Dadri,0.7,Tonnes,Other,3000,4000,3500,Rs/Quintal,Tinda
Ganaur,0.05,Tonnes,Tinda,3000,4000,3500,Rs/Quintal,Tinda
Hansi,1.4,Tonnes,Other,2500,3000,2800,Rs/Quintal,Tinda
Narnaul,0.8,Tonnes,Other,2500,4000,3000,Rs/Quintal,Tinda
,,,,,,,,
Bahadurgarh,9,Tonnes,Other,2300,2500,2400,Rs/Quintal,Tomato
Barwala(Hisar),3.1,Tonnes,Other,1500,2000,1800,Rs/Quintal,Tomato
Bhiwani,0.4,Tonnes,Tomato,3000,3500,3200,Rs/Quintal,Tomato
Ch. Dadri,4.9,Tonnes,Other,1600,2800,2200,Rs/Quintal,Tomato
Dhand,0.1,Tonnes,Deshi,2000,2100,2050,Rs/Quintal,Tomato
Farukh Nagar,3.2,Tonnes,Other,1500,2200,1500,Rs/Quintal,Tomato
Ganaur,1.75,Tonnes,Tomato,3000,4000,3500,Rs/Quintal,Tomato
Gohana,1.1,Tonnes,Tomato,2000,2600,2200,Rs/Quintal,Tomato
Gurgaon,65.5,Tonnes,Other,1500,2500,2000,Rs/Quintal,Tomato
Hansi,14.3,Tonnes,Other,2500,2500,2500,Rs/Quintal,Tomato
Hissar,22.5,Tonnes,Other,1500,1800,1600,Rs/Quintal,Tomato
Jakhal,0.3,Tonnes,Other,2100,2200,2200,Rs/Quintal,Tomato
Jhajjar,3.5,Tonnes,Other,2800,3200,3000,Rs/Quintal,Tomato
Jind,9.6,Tonnes,Other,2000,3500,3000,Rs/Quintal,Tomato
Ladwa,2,Tonnes,Tomato,1800,2000,1800,Rs/Quintal,Tomato
Narnaul,3.7,Tonnes,Other,2000,2500,2500,Rs/Quintal,Tomato
Narwana,2.2,Tonnes,Other,2500,2500,2500,Rs/Quintal,Tomato
"New Grain Market(main), Karnal",3,Tonnes,Other,2800,4000,3400,Rs/Quintal,Tomato
Pataudi,5.1,Tonnes,Other,2000,2500,2200,Rs/Quintal,Tomato
Pundri,0.5,Tonnes,Other,2100,2200,2150,Rs/Quintal,Tomato
Rania,0.2,Tonnes,Other,1900,2100,2000,Rs/Quintal,Tomato
Rewari,8.7,Tonnes,Other,1000,3000,2000,Rs/Quintal,Tomato
Safidon,1.55,Tonnes,Other,2500,2500,2500,Rs/Quintal,Tomato
Sirsa,9.8,Tonnes,Other,1500,2200,2000,Rs/Quintal,Tomato
Siwan,0.6,Tonnes,Other,2400,2500,2500,Rs/Quintal,Tomato
Sohna,2.3,Tonnes,Tomato,2000,3000,2500,Rs/Quintal,Tomato
Sonepat,10.1,Tonnes,Other,2300,2900,2900,Rs/Quintal,Tomato
Tohana(New Veg Market),4.7,Tonnes,Tomato,2500,2600,2500,Rs/Quintal,Tomato
Uklana,0.3,Tonnes,Other,2000,2000,2000,Rs/Quintal,Tomato
