Date,Market,Arrivals,Unit of Arrivals,Variety,Minimum Prices,Maximum Prices,Modal Prices,Unit of Price,Variety
02-09-2024,"New Grain Market(main), Karnal",4.2,Tonnes,Other,2000,3000,2500,Rs/Quintal,Cucumbar(Kheera)
02-09-2024,Rania,0.1,Tonnes,Other,1600,1800,1700,Rs/Quintal,Cucumbar(Kheera)
02-09-2024,Sirsa,5,Tonnes,Other,1700,2500,1800,Rs/Quintal,Cucumbar(Kheera)
02-09-2024,Sohna,2.05,Tonnes,Cucumbar,1500,2200,2000,Rs/Quintal,Cucumbar(Kheera)
02-09-2024,Sonepat,6,Tonnes,Other,3100,3600,3600,Rs/Quintal,Cucumbar(Kheera)
02-09-2024,Uklana,0.7,Tonnes,Cucumbar,1800,1800,1800,Rs/Quintal,Cucumbar(Kheera)
02-09-2024,,,,,,,,,
02-09-2024,Bahadurgarh,0.3,Tonnes,Other,9000,10000,9500,Rs/Quintal,Ginger(Green)
02-09-2024,Ganaur,0.5,Tonnes,Green Ginger,10000,12000,12000,Rs/Quintal,Ginger(Green)
02-09-2024,Narnaul,2,Tonnes,Green Ginger,5000,5000,5000,Rs/Quintal,Ginger(Green)
02-09-2024,Sonepat,0.2,Tonnes,Other,2800,3000,3000,Rs/Quintal,Ginger(Green)
02-09-2024,,,,,,,,,
02-09-2024,Ch. Dadri,13,Tonnes,Green Chilly,2000,5000,3500,Rs/Quintal,Green Chilli
02-09-2024,Faridabad,1.95,Tonnes,Other,2000,4000,3000,Rs/Quintal,Green Chilli
02-09-2024,Ganaur,0.55,Tonnes,Green Chilly,6000,7000,6500,Rs/Quintal,Green Chilli
02-09-2024,Gohana,0.6,Tonnes,Other,3000,5000,4000,Rs/Quintal,Green Chilli
02-09-2024,Ladwa,0.8,Tonnes,Green Chilly,2000,2500,2000,Rs/Quintal,Green Chilli
02-09-2024,Narnaul,1,Tonnes,Other,2000,5000,4000,Rs/Quintal,Green Chilli
02-09-2024,Rania,0.2,Tonnes,Green Chilly,1900,2100,2000,Rs/Quintal,Green Chilli
02-09-2024,Sohna,1.1,Tonnes,Green Chilly,2500,4000,3000,Rs/Quintal,Green Chilli
02-09-2024,Sonepat,2.1,Tonnes,Other,2600,2800,2800,Rs/Quintal,Green Chilli
02-09-2024,,,,,,,,,
02-09-2024,Barwala(Hisar),0.2,Tonnes,Other,1400,1500,1500,Rs/Quintal,Leafy Vegetable
02-09-2024,Siwan,0.1,Tonnes,Other,1200,1200,1200,Rs/Quintal,Leafy Vegetable
02-09-2024,,,,,,,,,
02-09-2024,Bahadurgarh,0.3,Tonnes,Other,8000,10000,9000,Rs/Quintal,Lemon
02-09-2024,Ganaur,0.05,Tonnes,Lemon,14000,15000,15000,Rs/Quintal,Lemon
02-09-2024,Hansi,0.2,Tonnes,Other,5000,6000,6000,Rs/Quintal,Lemon
02-09-2024,Ladwa,0.3,Tonnes,Lemon,6000,8000,6800,Rs/Quintal,Lemon
02-09-2024,Narnaul,0.2,Tonnes,Other,5000,5000,5000,Rs/Quintal,Lemon
02-09-2024,"New Grain Market(main), Karnal",0.2,Tonnes,Other,4000,5000,4500,Rs/Quintal,Lemon
02-09-2024,Rania,1,Tonnes,Lemon,1600,1800,1700,Rs/Quintal,Lemon
02-09-2024,Uklana,0.2,Tonnes,Other,8000,8000,8000,Rs/Quintal,Lemon
02-09-2024,,,,,,,,,
02-09-2024,Faridabad,24.5,Tonnes,Little gourd (Kundru),1500,2500,2000,Rs/Quintal,Little gourd (Kundru)
02-09-2024,,,,,,,,,
02-09-2024,Barwala(Hisar),1.5,Tonnes,Other,3000,4000,3500,Rs/Quintal,Onion
